,id,title,authors,paper,presentation,best,theme,abstract
34,58,Weather Considerations for Airport Capacity Decision Support Development,"Tom Reynolds, Mike Matthews, David Clark, Sophie Splawinski, Kurtis Arnold and Matthew Williams",/seminarContent/symposium1/papers/ATRDS25_full_paper_58.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_58.pdf,*,Weather in Air Transportation,
35,59,Generative Stress-Testing for Air Traffic Management Resilience,"Sinan Abdulhak, Yuhan Miao, Celine Lee, Wayne Hubbard, Alexander S. Estes, and Max Z. Li",/seminarContent/symposium1/papers/ATRDS25_Doctoral_Paper_59.pdf,,,Doctoral papers,
36,60,Learning Network Flow Control Strategies from Miles-In-Trail Data,"Nianxi Xie, Yanjun Wang, Ying Zhou, Sameer Alam, Vu Duong and Mark Hansen",/seminarContent/symposium1/papers/ATRDS25_full_paper_60.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_60.pdf,,Air traffic flow management and optimization,
37,61,Adaptive Traffic-Following Scheme for Safe Separation and Orderly Control of Distributed Multi-Vehicle Systems,"Anahita Jain, Husni Idris, John-Paul Clarke and Daniel Delahaye",/seminarContent/symposium1/papers/ATRDS25_full_paper_61.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_61.pdf,,"Automation, human factors, and decision support systems",
38,63,Ensuring UAS Airworthiness: Deep Learning-Based Acoustic Health Monitoring of Motor Health,"Prissha Chawla, Chetan Kulkarni and Manuel Arias Chao",/seminarContent/symposium1/papers/ATRDS25_full_paper_63.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_63.pdf,,"Safety, resilience, and security",
39,64,An MAC Probability Assessment Framework for Integrated Operations in Urban Air Mobility Considering Safety Barriers,"Jinpeng Zhang, Yan Xu, Kaiquan Cai, Victor Gordo and Gokhan Inalhan",/seminarContent/symposium1/papers/ATRDS25_full_paper_64.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_64.pdf,,"Safety, resilience, and security",
40,65,Flight allocation in flight-centric air traffic control: A MILP model approach,Andr√©as Guitart and Daniel Delahaye,/seminarContent/symposium1/papers/ATRDS25_full_paper_65.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_65.pdf,,Air traffic flow management and optimization,
41,67,Leveraging Retrieval-Augmented In-context Learning for Complex Air Traffic Scenario Generation,"Yash Guleria, Duc-Thinh Pham, Ashton Low Kin Yun, Nadirshah Thaivalappil N.M., Katherine Fennedy, Chunyao Ma and Sameer Alam",/seminarContent/symposium1/papers/ATRDS25_full_paper_67.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_67.pdf,*,"Automation, human factors, and decision support systems",
42,69,Optimized Sequencing and Conflict-Free Path Planning for Arrival Flights during Runway Direction Changes,"Hao Jiang, Zhi Jun Lim, Debosmit Mookherjee, Imen Dhief, Yutong Chen, Duc-Thinh Pham and Sameer Alam",/seminarContent/symposium1/papers/ATRDS25_full_paper_69.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_69.pdf,,"4-D Trajectory planning, prediction, and management",
43,70,Vertiport Placement for Urban Air Mobility to Reduce Time for Multimodal Travel,"Yashovardhan S. Chati, Yamini Sharma, Kirti Nikam, Prasad Devkar and Arunchandar Vasan",/seminarContent/symposium1/papers/ATRDS25_full_paper_70.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_70.pdf,*,"Autonomous, unmanned and remotely piloted aircraft systems and emerging operations",
44,71,Design of a hybrid-electric powertrain model for trajectory optimization,"Edgar Böttcher, Thomas Zeh and Hartmut Fricke",/seminarContent/symposium1/papers/ATRDS25_Doctoral_Paper_71.pdf,,,Doctoral papers,
45,75,"Contrail, or not contrail, that is the question: the ""feasibility"" of climate-optimal routing",Junzi Sun and Xavier Olive,/seminarContent/symposium1/papers/ATRDS25_full_paper_75.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_75.pdf,,Environment and energy efficiency,
46,81,Robust Management of Airport Security Queues Considering Passenger Non-compliance with Chance-Constrained Optimization,"Shangqing Cao, Aparimit Kasliwal, Huangyi Zheng, Masoud Reihanifar, Francesc Robuste and Mark Hansen",/seminarContent/symposium1/papers/ATRDS25_full_paper_81.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_81.pdf,,Integrated airport/airside operations,
47,82,From En-Route to Touchdown: Uncertainty Analysis of Inbound Traffic Flows to Singapore Changi Airport,"Daniel Lubig, Judith Rosenow, Norman Peter and Hartmut Fricke",/seminarContent/symposium1/papers/ATRDS25_full_paper_82.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_82.pdf,,Air traffic flow management and optimization,
48,85,A robust optimization approach for dynamic airspace configuration,"Go Nam Lui, Guglielmo Lulli, Luigi De Giovanni, Martina Galeazzo, Iciar Garcia-Ovies Carro and Rebeca Llorente Martinez",/seminarContent/symposium1/papers/ATRDS25_full_paper_85.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_85.pdf,*,Air traffic flow management and optimization,
49,86,Predicting Reactionary Delays in a Hub-Spoke Network using Graph Attention Neural Networks,"Constanca Veiga, Marta Ribeiro and Marie Carre",/seminarContent/symposium1/papers/ATRDS25_full_paper_86.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_86.pdf,,Air traffic flow management and optimization,
50,87,Identification and Characterization for Disruptions in the U.S. National Airspace System (NAS),"Jing Xu, Mark Hansen and Megan Ryerson",/seminarContent/symposium1/papers/ATRDS25_full_paper_87.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_87.pdf,*,ATM performance measurement and management,
51,88,"Automating Terminal Airspace Vectoring: A Machine-Assisted Approach for Sequencing, Spacing and Merging of Arrival Flights","Imen Dhief, Zhi Jun Lim, Hao Jiang, Duc-Thinh Pham and Sameer Alam",/seminarContent/symposium1/papers/ATRDS25_full_paper_88.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_88.pdf,,"Automation, human factors, and decision support systems",
52,90,Anomaly Detection of Aircraft on Final Approach to an Aerodrome with Temporal Fusion Transformers,"Giuseppina Carannante, Nidhal Bouaynaya, Tom Tessitore, Anis Omezzine, Andrew Bak and Charles Johnson",/seminarContent/symposium1/papers/ATRDS25_full_paper_90.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_90.pdf,*,"Safety, resilience, and security",
